Title,URL,Short Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers,Duration,Site
Cloud Computing Mastery Course 44,http://example.com/cloudcomputing/44,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Certificate,English,English,"Azure, GCP, AWS",Instructor 25,4.3,19880,27 hours,Coursera
Cloud Computing Mastery Course 45,http://example.com/cloudcomputing/45,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Professional Certificate,English,English,"Azure, AWS, DevOps",Instructor 149,4.2,190127,21 hours,Pluralsight
Cloud Computing Mastery Course 46,http://example.com/cloudcomputing/46,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Bootcamp,English,English,"Azure, GCP, DevOps",Instructor 143,4.8,457455,19 hours,Pluralsight
Cloud Computing Mastery Course 47,http://example.com/cloudcomputing/47,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Bootcamp,English,English,"GCP, DevOps, Azure",Instructor 52,4.8,84185,15 hours,Pluralsight
Cloud Computing Mastery Course 48,http://example.com/cloudcomputing/48,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Professional Certificate,English,English,"GCP, DevOps, Azure",Instructor 151,4.5,365680,37 hours,Pluralsight
Cloud Computing Mastery Course 49,http://example.com/cloudcomputing/49,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Specialization,English,English,"GCP, Azure, AWS",Instructor 30,4.5,21636,26 hours,Coursera
Cloud Computing Mastery Course 50,http://example.com/cloudcomputing/50,Comprehensive training in Cloud Computing covering practical and real-world projects.,Computer Science,Cloud Computing,Professional Certificate,English,English,"GCP, DevOps, Azure",Instructor 106,4.9,267936,11 hours,Pluralsight
Cyber Security Mastery Course 1,http://example.com/cybersecurity/1,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Specialization,English,English,"PenTesting, Security, Networking",Instructor 129,4.7,419258,14 hours,Pluralsight
Cyber Security Mastery Course 2,http://example.com/cybersecurity/2,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Certificate,English,English,"Networking, Ethical Hacking, Security",Instructor 8,4.9,446775,34 hours,edX
Cyber Security Mastery Course 3,http://example.com/cybersecurity/3,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Professional Certificate,English,English,"Networking, Security, PenTesting",Instructor 172,5.0,278956,8 hours,Udemy
Cyber Security Mastery Course 4,http://example.com/cybersecurity/4,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Specialization,English,English,"PenTesting, Ethical Hacking, Security",Instructor 36,4.3,193409,20 hours,FutureLearn
Cyber Security Mastery Course 5,http://example.com/cybersecurity/5,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Bootcamp,English,English,"Ethical Hacking, Security, Networking",Instructor 76,4.5,45784,12 hours,FutureLearn
Cyber Security Mastery Course 6,http://example.com/cybersecurity/6,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Professional Certificate,English,English,"Networking, Ethical Hacking, PenTesting",Instructor 127,4.3,344187,35 hours,Coursera
Cyber Security Mastery Course 7,http://example.com/cybersecurity/7,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Specialization,English,English,"Ethical Hacking, Security, PenTesting",Instructor 5,4.4,329245,37 hours,Coursera
Cyber Security Mastery Course 8,http://example.com/cybersecurity/8,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Certificate,English,English,"PenTesting, Ethical Hacking, Security",Instructor 116,4.6,326929,14 hours,FutureLearn
Cyber Security Mastery Course 9,http://example.com/cybersecurity/9,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Specialization,English,English,"Security, Networking, PenTesting",Instructor 54,4.5,499628,37 hours,Coursera
Cyber Security Mastery Course 10,http://example.com/cybersecurity/10,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Bootcamp,English,English,"PenTesting, Networking, Security",Instructor 119,4.5,245012,19 hours,Coursera
Cyber Security Mastery Course 11,http://example.com/cybersecurity/11,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Certificate,English,English,"PenTesting, Ethical Hacking, Networking",Instructor 5,4.8,191295,19 hours,Coursera
Cyber Security Mastery Course 12,http://example.com/cybersecurity/12,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Professional Certificate,English,English,"Security, PenTesting, Networking",Instructor 159,4.4,469073,6 hours,Coursera
Cyber Security Mastery Course 13,http://example.com/cybersecurity/13,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Bootcamp,English,English,"Ethical Hacking, Security, Networking",Instructor 117,4.9,358553,27 hours,Pluralsight
Cyber Security Mastery Course 14,http://example.com/cybersecurity/14,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Professional Certificate,English,English,"Networking, Ethical Hacking, Security",Instructor 84,4.9,188391,24 hours,Udemy
Cyber Security Mastery Course 15,http://example.com/cybersecurity/15,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Certificate,English,English,"PenTesting, Security, Networking",Instructor 165,5.0,87715,8 hours,Udemy
Cyber Security Mastery Course 16,http://example.com/cybersecurity/16,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Professional Certificate,English,English,"Networking, Security, PenTesting",Instructor 161,4.8,295434,11 hours,Coursera
Cyber Security Mastery Course 17,http://example.com/cybersecurity/17,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Professional Certificate,English,English,"Networking, Security, PenTesting",Instructor 116,4.6,320052,29 hours,Udemy
Cyber Security Mastery Course 18,http://example.com/cybersecurity/18,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Bootcamp,English,English,"Ethical Hacking, Security, Networking",Instructor 168,4.3,480145,14 hours,edX
Cyber Security Mastery Course 19,http://example.com/cybersecurity/19,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Specialization,English,English,"Security, PenTesting, Ethical Hacking",Instructor 3,4.3,282774,39 hours,edX
Cyber Security Mastery Course 20,http://example.com/cybersecurity/20,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Specialization,English,English,"Networking, Security, PenTesting",Instructor 1,4.6,481921,18 hours,Pluralsight
Cyber Security Mastery Course 21,http://example.com/cybersecurity/21,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Bootcamp,English,English,"PenTesting, Security, Networking",Instructor 132,4.3,405494,40 hours,Udemy
Cyber Security Mastery Course 22,http://example.com/cybersecurity/22,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Specialization,English,English,"Security, Networking, Ethical Hacking",Instructor 79,4.3,259870,17 hours,Pluralsight
Cyber Security Mastery Course 23,http://example.com/cybersecurity/23,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Bootcamp,English,English,"Ethical Hacking, Networking, Security",Instructor 160,4.2,491120,35 hours,edX
Cyber Security Mastery Course 24,http://example.com/cybersecurity/24,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Certificate,English,English,"Networking, Ethical Hacking, PenTesting",Instructor 54,4.9,180567,31 hours,Pluralsight
Cyber Security Mastery Course 25,http://example.com/cybersecurity/25,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Professional Certificate,English,English,"PenTesting, Security, Ethical Hacking",Instructor 193,4.9,139517,33 hours,Udemy
Cyber Security Mastery Course 26,http://example.com/cybersecurity/26,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Certificate,English,English,"Networking, PenTesting, Ethical Hacking",Instructor 42,4.6,485182,28 hours,FutureLearn
Cyber Security Mastery Course 27,http://example.com/cybersecurity/27,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Professional Certificate,English,English,"Ethical Hacking, Security, Networking",Instructor 98,4.8,159251,9 hours,edX
Cyber Security Mastery Course 28,http://example.com/cybersecurity/28,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Professional Certificate,English,English,"Security, PenTesting, Ethical Hacking",Instructor 169,4.4,218106,28 hours,Coursera
Cyber Security Mastery Course 29,http://example.com/cybersecurity/29,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Bootcamp,English,English,"Security, PenTesting, Networking",Instructor 145,4.8,409155,34 hours,Coursera
Cyber Security Mastery Course 30,http://example.com/cybersecurity/30,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Certificate,English,English,"Security, Ethical Hacking, Networking",Instructor 57,4.9,59972,25 hours,Coursera
Cyber Security Mastery Course 31,http://example.com/cybersecurity/31,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Bootcamp,English,English,"PenTesting, Networking, Ethical Hacking",Instructor 107,4.3,227724,37 hours,FutureLearn
Cyber Security Mastery Course 32,http://example.com/cybersecurity/32,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Certificate,English,English,"Ethical Hacking, Networking, Security",Instructor 41,4.3,109234,36 hours,Udemy
Cyber Security Mastery Course 33,http://example.com/cybersecurity/33,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Professional Certificate,English,English,"Networking, PenTesting, Ethical Hacking",Instructor 94,4.7,132394,26 hours,Coursera
Cyber Security Mastery Course 34,http://example.com/cybersecurity/34,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Bootcamp,English,English,"Ethical Hacking, PenTesting, Networking",Instructor 100,4.3,11794,8 hours,Pluralsight
Cyber Security Mastery Course 35,http://example.com/cybersecurity/35,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Certificate,English,English,"Ethical Hacking, Networking, PenTesting",Instructor 13,4.8,470526,27 hours,Pluralsight
Cyber Security Mastery Course 36,http://example.com/cybersecurity/36,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Certificate,English,English,"Ethical Hacking, PenTesting, Networking",Instructor 39,4.5,20959,28 hours,Coursera
Cyber Security Mastery Course 37,http://example.com/cybersecurity/37,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Professional Certificate,English,English,"Security, Networking, PenTesting",Instructor 57,4.5,498667,32 hours,edX
Cyber Security Mastery Course 38,http://example.com/cybersecurity/38,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Professional Certificate,English,English,"Security, Ethical Hacking, Networking",Instructor 133,4.3,280157,10 hours,Udemy
Cyber Security Mastery Course 39,http://example.com/cybersecurity/39,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Specialization,English,English,"Networking, Security, PenTesting",Instructor 49,4.2,369760,35 hours,Coursera
Cyber Security Mastery Course 40,http://example.com/cybersecurity/40,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Specialization,English,English,"Security, PenTesting, Ethical Hacking",Instructor 3,4.6,326430,19 hours,Pluralsight
Cyber Security Mastery Course 41,http://example.com/cybersecurity/41,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Specialization,English,English,"PenTesting, Networking, Security",Instructor 85,4.6,161392,21 hours,Coursera
Cyber Security Mastery Course 42,http://example.com/cybersecurity/42,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Certificate,English,English,"Networking, PenTesting, Ethical Hacking",Instructor 26,5.0,420398,7 hours,Coursera
Cyber Security Mastery Course 43,http://example.com/cybersecurity/43,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Certificate,English,English,"Ethical Hacking, Security, PenTesting",Instructor 9,4.5,173721,17 hours,edX
Cyber Security Mastery Course 44,http://example.com/cybersecurity/44,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Certificate,English,English,"Security, Ethical Hacking, Networking",Instructor 49,4.7,50508,16 hours,Udemy
Cyber Security Mastery Course 45,http://example.com/cybersecurity/45,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Professional Certificate,English,English,"Networking, Security, Ethical Hacking",Instructor 180,4.5,348557,27 hours,edX
Cyber Security Mastery Course 46,http://example.com/cybersecurity/46,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Professional Certificate,English,English,"PenTesting, Security, Ethical Hacking",Instructor 61,4.3,363891,24 hours,Coursera
Cyber Security Mastery Course 47,http://example.com/cybersecurity/47,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Professional Certificate,English,English,"Ethical Hacking, Security, PenTesting",Instructor 105,4.5,127028,29 hours,FutureLearn
Cyber Security Mastery Course 48,http://example.com/cybersecurity/48,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Professional Certificate,English,English,"Networking, Ethical Hacking, PenTesting",Instructor 146,4.6,441621,18 hours,edX
Cyber Security Mastery Course 49,http://example.com/cybersecurity/49,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Certificate,English,English,"Networking, Security, Ethical Hacking",Instructor 165,4.5,204106,27 hours,FutureLearn
Cyber Security Mastery Course 50,http://example.com/cybersecurity/50,Comprehensive training in Cyber Security covering practical and real-world projects.,Computer Science,Cyber Security,Specialization,English,English,"Ethical Hacking, Networking, Security",Instructor 113,4.6,12628,12 hours,edX
UI/UX Designing Mastery Course 1,http://example.com/ui/uxdesigning/1,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Certificate,English,English,"Wireframing, Figma, Adobe XD",Instructor 11,4.8,339240,29 hours,FutureLearn
UI/UX Designing Mastery Course 2,http://example.com/ui/uxdesigning/2,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Bootcamp,English,English,"Prototyping, Adobe XD, Wireframing",Instructor 156,4.6,302365,36 hours,Coursera
UI/UX Designing Mastery Course 3,http://example.com/ui/uxdesigning/3,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Professional Certificate,English,English,"Figma, Prototyping, Wireframing",Instructor 2,4.4,337849,29 hours,Pluralsight
UI/UX Designing Mastery Course 4,http://example.com/ui/uxdesigning/4,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Professional Certificate,English,English,"Prototyping, Adobe XD, Figma",Instructor 3,4.8,74953,30 hours,Pluralsight
UI/UX Designing Mastery Course 5,http://example.com/ui/uxdesigning/5,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Bootcamp,English,English,"Prototyping, Adobe XD, Wireframing",Instructor 165,5.0,47256,32 hours,Pluralsight
UI/UX Designing Mastery Course 6,http://example.com/ui/uxdesigning/6,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Certificate,English,English,"Figma, Prototyping, Adobe XD",Instructor 141,4.8,84537,37 hours,Pluralsight
UI/UX Designing Mastery Course 7,http://example.com/ui/uxdesigning/7,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Specialization,English,English,"Wireframing, Figma, Prototyping",Instructor 157,4.4,408783,16 hours,Udemy
UI/UX Designing Mastery Course 8,http://example.com/ui/uxdesigning/8,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Bootcamp,English,English,"Adobe XD, Prototyping, Wireframing",Instructor 85,4.8,177658,39 hours,edX
UI/UX Designing Mastery Course 9,http://example.com/ui/uxdesigning/9,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Professional Certificate,English,English,"Figma, Wireframing, Prototyping",Instructor 60,4.4,156626,11 hours,Coursera
UI/UX Designing Mastery Course 10,http://example.com/ui/uxdesigning/10,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Professional Certificate,English,English,"Adobe XD, Prototyping, Wireframing",Instructor 104,5.0,207882,18 hours,Coursera
UI/UX Designing Mastery Course 11,http://example.com/ui/uxdesigning/11,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Specialization,English,English,"Adobe XD, Wireframing, Figma",Instructor 89,4.6,156823,38 hours,Coursera
UI/UX Designing Mastery Course 12,http://example.com/ui/uxdesigning/12,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Professional Certificate,English,English,"Adobe XD, Prototyping, Wireframing",Instructor 2,4.5,226625,36 hours,Coursera
UI/UX Designing Mastery Course 13,http://example.com/ui/uxdesigning/13,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Professional Certificate,English,English,"Prototyping, Figma, Adobe XD",Instructor 145,4.4,390177,25 hours,Udemy
UI/UX Designing Mastery Course 14,http://example.com/ui/uxdesigning/14,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Professional Certificate,English,English,"Figma, Adobe XD, Prototyping",Instructor 82,4.5,37191,24 hours,Coursera
UI/UX Designing Mastery Course 15,http://example.com/ui/uxdesigning/15,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Professional Certificate,English,English,"Adobe XD, Figma, Wireframing",Instructor 197,4.6,11875,24 hours,Pluralsight
UI/UX Designing Mastery Course 16,http://example.com/ui/uxdesigning/16,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Specialization,English,English,"Prototyping, Wireframing, Figma",Instructor 70,4.8,112480,24 hours,Pluralsight
UI/UX Designing Mastery Course 17,http://example.com/ui/uxdesigning/17,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Bootcamp,English,English,"Wireframing, Adobe XD, Prototyping",Instructor 8,5.0,326730,8 hours,Pluralsight
UI/UX Designing Mastery Course 18,http://example.com/ui/uxdesigning/18,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Certificate,English,English,"Adobe XD, Figma, Wireframing",Instructor 29,4.3,450893,10 hours,FutureLearn
UI/UX Designing Mastery Course 19,http://example.com/ui/uxdesigning/19,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Bootcamp,English,English,"Adobe XD, Figma, Prototyping",Instructor 186,4.5,376592,15 hours,Coursera
UI/UX Designing Mastery Course 20,http://example.com/ui/uxdesigning/20,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Bootcamp,English,English,"Adobe XD, Prototyping, Wireframing",Instructor 82,4.6,191343,26 hours,Pluralsight
UI/UX Designing Mastery Course 21,http://example.com/ui/uxdesigning/21,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Certificate,English,English,"Prototyping, Figma, Adobe XD",Instructor 178,5.0,190551,12 hours,edX
UI/UX Designing Mastery Course 22,http://example.com/ui/uxdesigning/22,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Certificate,English,English,"Prototyping, Adobe XD, Wireframing",Instructor 101,5.0,168629,27 hours,Coursera
UI/UX Designing Mastery Course 23,http://example.com/ui/uxdesigning/23,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Bootcamp,English,English,"Prototyping, Figma, Adobe XD",Instructor 110,4.2,149541,40 hours,edX
UI/UX Designing Mastery Course 24,http://example.com/ui/uxdesigning/24,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Specialization,English,English,"Prototyping, Wireframing, Adobe XD",Instructor 196,4.8,463801,30 hours,edX
UI/UX Designing Mastery Course 25,http://example.com/ui/uxdesigning/25,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Bootcamp,English,English,"Adobe XD, Prototyping, Wireframing",Instructor 48,4.6,59378,25 hours,edX
UI/UX Designing Mastery Course 26,http://example.com/ui/uxdesigning/26,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Professional Certificate,English,English,"Adobe XD, Figma, Wireframing",Instructor 34,4.3,143681,14 hours,FutureLearn
UI/UX Designing Mastery Course 27,http://example.com/ui/uxdesigning/27,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Professional Certificate,English,English,"Figma, Adobe XD, Prototyping",Instructor 54,4.8,377840,28 hours,Coursera
UI/UX Designing Mastery Course 28,http://example.com/ui/uxdesigning/28,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Certificate,English,English,"Prototyping, Figma, Wireframing",Instructor 45,4.9,272215,12 hours,FutureLearn
UI/UX Designing Mastery Course 29,http://example.com/ui/uxdesigning/29,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Specialization,English,English,"Wireframing, Adobe XD, Figma",Instructor 147,4.3,281295,10 hours,edX
UI/UX Designing Mastery Course 30,http://example.com/ui/uxdesigning/30,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Bootcamp,English,English,"Figma, Adobe XD, Prototyping",Instructor 36,4.3,100965,35 hours,Udemy
UI/UX Designing Mastery Course 31,http://example.com/ui/uxdesigning/31,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Certificate,English,English,"Adobe XD, Figma, Prototyping",Instructor 194,4.7,131526,15 hours,edX
UI/UX Designing Mastery Course 32,http://example.com/ui/uxdesigning/32,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Professional Certificate,English,English,"Prototyping, Adobe XD, Figma",Instructor 2,4.5,437416,40 hours,Coursera
UI/UX Designing Mastery Course 33,http://example.com/ui/uxdesigning/33,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Specialization,English,English,"Adobe XD, Wireframing, Prototyping",Instructor 89,4.3,10421,21 hours,FutureLearn
UI/UX Designing Mastery Course 34,http://example.com/ui/uxdesigning/34,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Certificate,English,English,"Adobe XD, Wireframing, Figma",Instructor 30,4.9,157035,9 hours,edX
UI/UX Designing Mastery Course 35,http://example.com/ui/uxdesigning/35,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Professional Certificate,English,English,"Adobe XD, Prototyping, Figma",Instructor 18,4.9,306487,31 hours,Pluralsight
UI/UX Designing Mastery Course 36,http://example.com/ui/uxdesigning/36,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Specialization,English,English,"Adobe XD, Prototyping, Wireframing",Instructor 50,4.4,273248,40 hours,edX
UI/UX Designing Mastery Course 37,http://example.com/ui/uxdesigning/37,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Specialization,English,English,"Adobe XD, Wireframing, Figma",Instructor 174,4.6,421901,12 hours,Coursera
UI/UX Designing Mastery Course 38,http://example.com/ui/uxdesigning/38,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Certificate,English,English,"Figma, Adobe XD, Prototyping",Instructor 115,4.5,384583,25 hours,Udemy
UI/UX Designing Mastery Course 39,http://example.com/ui/uxdesigning/39,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Professional Certificate,English,English,"Wireframing, Prototyping, Adobe XD",Instructor 105,4.5,398668,19 hours,FutureLearn
UI/UX Designing Mastery Course 40,http://example.com/ui/uxdesigning/40,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Bootcamp,English,English,"Prototyping, Figma, Wireframing",Instructor 191,4.3,483105,33 hours,Udemy
UI/UX Designing Mastery Course 41,http://example.com/ui/uxdesigning/41,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Professional Certificate,English,English,"Figma, Adobe XD, Prototyping",Instructor 132,4.3,477002,22 hours,FutureLearn
UI/UX Designing Mastery Course 42,http://example.com/ui/uxdesigning/42,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Professional Certificate,English,English,"Adobe XD, Figma, Prototyping",Instructor 91,4.4,488875,23 hours,Pluralsight
UI/UX Designing Mastery Course 43,http://example.com/ui/uxdesigning/43,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Certificate,English,English,"Figma, Adobe XD, Wireframing",Instructor 146,4.4,292182,25 hours,Coursera
UI/UX Designing Mastery Course 44,http://example.com/ui/uxdesigning/44,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Certificate,English,English,"Prototyping, Figma, Adobe XD",Instructor 109,4.9,103507,29 hours,Pluralsight
UI/UX Designing Mastery Course 45,http://example.com/ui/uxdesigning/45,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Bootcamp,English,English,"Figma, Adobe XD, Prototyping",Instructor 103,4.3,370566,11 hours,Pluralsight
UI/UX Designing Mastery Course 46,http://example.com/ui/uxdesigning/46,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Certificate,English,English,"Prototyping, Figma, Wireframing",Instructor 44,4.4,239531,7 hours,Coursera
UI/UX Designing Mastery Course 47,http://example.com/ui/uxdesigning/47,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Professional Certificate,English,English,"Wireframing, Figma, Prototyping",Instructor 118,4.3,395250,40 hours,Udemy
UI/UX Designing Mastery Course 48,http://example.com/ui/uxdesigning/48,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Certificate,English,English,"Prototyping, Wireframing, Figma",Instructor 179,4.4,77035,8 hours,Coursera
UI/UX Designing Mastery Course 49,http://example.com/ui/uxdesigning/49,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Specialization,English,English,"Adobe XD, Figma, Prototyping",Instructor 85,4.5,447997,16 hours,edX
UI/UX Designing Mastery Course 50,http://example.com/ui/uxdesigning/50,Comprehensive training in UI/UX Designing covering practical and real-world projects.,Computer Science,UI/UX Designing,Certificate,English,English,"Figma, Prototyping, Adobe XD",Instructor 147,4.7,118487,27 hours,FutureLearn
Digital Marketing Mastery Course 1,http://example.com/digitalmarketing/1,Comprehensive training in Digital Marketing covering practical and real-world projects.,Computer Science,Digital Marketing,Certificate,English,English,"SEO, Content Marketing, Google Ads",Instructor 108,4.5,263230,15 hours,edX
Digital Marketing Mastery Course 2,http://example.com/digitalmarketing/2,Comprehensive training in Digital Marketing covering practical and real-world projects.,Computer Science,Digital Marketing,Certificate,English,English,"SEO, Analytics, Google Ads",Instructor 18,4.3,173951,7 hours,edX
Digital Marketing Mastery Course 3,http://example.com/digitalmarketing/3,Comprehensive training in Digital Marketing covering practical and real-world projects.,Computer Science,Digital Marketing,Professional Certificate,English,English,"SEO, Analytics, Google Ads",Instructor 1,4.9,236562,40 hours,Pluralsight
